Statute,Merit,Settled,Settled_Other,Total_Positive_Outcomes_for_Complainants,Dismissed,Kick_Out,Withdrawn,Total_Determinations,Fiscal_Year
ACA,0,0,0,0,13,0,13,26,2014
AHERA,0,0,1,1,2,0,0,3,2014
AIR21,0,10,11,21,49,0,28,98,2014
CFPA,1,3,4,8,15,1,10,34,2014
CPSIA,0,3,0,3,1,1,0,5,2014
EPA,2,3,7,12,39,0,7,58,2014
ERA,1,3,12,16,34,3,11,64,2014
FRSA,28,27,31,86,213,47,55,401,2014
FSMA,0,6,6,12,26,0,11,49,2014
ISCA,0,0,0,0,0,0,0,0,2014
MAP21,0,0,2,2,1,1,1,5,2014
NTSSA,1,1,2,4,12,2,6,24,2014
OSHA,13,309,161,483,957,0,426,1866,2014
PSIA,0,0,5,5,1,0,1,7,2014
SOX,2,3,29,34,77,30,33,174,2014
SPA,0,3,0,3,5,1,0,9,2014
STAA,16,70,34,120,212,13,106,451,2014
