Statute,Merit,Settled,Settled_Other,Total_Positive_Outcomes_for_Complainants,Dismissed,Kick_Out,Withdrawn,Total_Determinations,Fiscal_Year
ACA,0,2,5,7,12,1,6,26,2016
AHERA,0,0,0,0,3,0,0,3,2016
AIR21,8,6,22,36,63,0,19,118,2016
CFPA,1,2,7,10,14,4,9,37,2016
CPSIA,0,0,0,0,5,0,1,6,2016
EPA,1,4,11,16,22,0,15,53,2016
ERA,2,1,10,13,23,0,10,46,2016
FRSA,10,12,28,50,160,50,44,304,2016
FSMA,0,13,13,26,30,1,17,74,2016
ISCA,0,0,0,0,0,0,0,0,2016
MAP21,0,0,2,2,3,1,2,8,2016
NTSSA,2,0,3,5,17,0,3,25,2016
OSHA,29,342,210,581,1043,0,472,2096,2016
PSIA,0,0,0,0,6,0,2,8,2016
SOX,1,7,27,35,77,31,30,173,2016
SPA,0,0,1,1,12,0,1,14,2016
STAA,9,52,37,98,225,7,81,411,2016
