Statute,Merit,Settled,Settled_Other,Total_Positive_Outcomes_for_Complainants,Dismissed,Kick_Out,Withdrawn,Total_Determinations,Fiscal_Year
ACA,0,1,6,7,15,2,7,31,2017
AHERA,0,0,1,1,5,0,0,6,2017
AIR21,2,7,12,21,77,0,16,114,2017
CFPA,1,6,4,11,32,9,38,90,2017
CPSIA,1,0,0,1,6,0,1,8,2017
EPA,1,1,7,9,44,0,17,70,2017
ERA,1,3,7,11,30,4,5,50,2017
FRSA,8,13,48,69,194,34,46,343,2017
FSMA,1,7,9,17,36,3,11,67,2017
ISCA,0,0,0,0,0,0,0,0,2017
MAP21,0,0,1,1,3,2,1,7,2017
NTSSA,1,1,0,2,12,1,4,19,2017
OSHA,15,303,220,538,877,0,502,1917,2017
PSIA,0,3,1,4,4,0,1,9,2017
SOX,7,5,35,47,102,16,37,202,2017
SPA,0,1,0,1,4,1,4,10,2017
STAA,11,58,37,106,247,17,119,489,2017
