Statute,Merit,Settled,Settled_Other,Total_Positive_Outcomes_for_Complainants,Dismissed,Kick_Out,Withdrawn,Total_Determinations,Fiscal_Year
ACA,0,0,2,2,7,0,4,13,2018
AHERA,0,0,0,0,3,0,2,5,2018
AIR21,4,2,14,20,73,0,8,101,2018
CFPA,0,3,10,13,23,5,8,49,2018
CPSIA,0,0,0,0,7,1,0,8,2018
EPA,2,4,4,10,29,0,5,44,2018
ERA,1,1,13,15,26,0,3,44,2018
FRSA,7,6,20,33,222,26,39,320,2018
FSMA,1,8,6,15,36,0,10,61,2018
ISCA,0,0,0,0,0,0,0,0,2018
MAP21,0,0,2,2,4,1,0,7,2018
NTSSA,0,0,2,2,16,0,3,21,2018
OSHA,20,269,221,510,870,0,377,1757,2018
PSIA,3,0,0,3,1,0,2,6,2018
SOX,3,5,27,35,92,16,20,163,2018
SPA,0,0,0,0,6,3,3,12,2018
STAA,3,43,33,79,222,8,44,353,2018
